#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-09-09T12:20:21 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ522dbc517400	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/375/863&tab:{J/A+A/375/863/table3}&key:source=J/A+A/375/863&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/375/863/table3
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=V-I
#-out=F1
#-out=F2
#-out=F3
#-out=F4
#-out=F5
#
#
#RESOURCE=yCat_33750863
#Name: J/A+A/375/863
#Title: Photometry in NGC 2516 (Jeffries+, 2001)
#Table	J_A_A_375_863_table3:
#Name: J/A+A/375/863/table3
#Title: The photometric catalogue for NGC 2516
#Column	ID	(I5)	Star number	[ucd=meta.id]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index (1)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	F1	(I2)	[-1/1] V vs B-V membership flag (2)	[ucd=meta.code.member]
#Column	F2	(I2)	[-1/1] V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F3	(I2)	[-1/1] B-V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F4	(I2)	[-1/1] Candidate membership flag (3)	[ucd=meta.code.member]
#Column	F5	(I1)	[0/1] Binarity flag (4)	[ucd=meta.code]
#ID;RAJ2000;DEJ2000;Vmag;B-V;V-I;F1;F2;F3;F4;F5
# ;"h:m:s";"d:m:s"; ; ; ; ; ; ; ;
#-----;------------;------------;------;------;------;--;--;--;--;-
    1;07 54 08.467;-61 00 50.36;18.582;      ; 1.537; 0;-1; 0;-1;0
    2;07 54 08.902;-61 03 26.94;15.255; 0.830; 0.989;-1;-1; 1;-1;0
    3;07 54 09.401;-61 07 55.51;16.059; 1.337; 1.566; 1; 1; 1; 1;0
    4;07 54 09.831;-60 53 14.35;18.495;      ; 2.656; 0; 1; 0; 1;1
    5;07 54 09.910;-61 02 29.19;18.932;      ; 1.252; 0;-1; 0;-1;0
    6;07 54 10.082;-61 03 22.61;18.000;      ; 1.963; 0;-1; 0;-1;0
    7;07 54 10.360;-61 02 28.71;18.317; 0.853; 1.036;-1;-1; 1;-1;0
    8;07 54 10.424;-61 04 47.23;18.223; 0.767; 1.047;-1;-1; 1;-1;0
    9;07 54 10.460;-61 07 29.67;18.844; 0.646; 1.105;-1;-1;-1;-1;0
   10;07 54 10.463;-60 54 02.90;18.154; 0.990; 1.272;-1;-1; 1;-1;0
   11;07 54 10.491;-60 52 57.38;17.981; 0.972; 1.329;-1;-1;-1;-1;0
   12;07 54 10.630;-61 07 48.85;16.950; 0.732; 2.616;-1;-1;-1;-1;0
   13;07 54 10.815;-60 32 28.19;16.124; 0.862; 1.028;-1;-1; 1;-1;0
   14;07 54 10.861;-60 40 43.75;18.283; 1.020; 1.190;-1;-1; 1;-1;0
   15;07 54 10.885;-60 29 21.06;18.079; 1.013; 1.118;-1;-1; 1;-1;0
   16;07 54 10.886;-60 21 06.42;20.084;      ; 2.266; 0;-1; 0;-1;0
   17;07 54 10.894;-60 54 46.81;19.304;      ; 1.895; 0;-1; 0;-1;0
   18;07 54 11.019;-61 07 07.46;19.900;      ; 1.749; 0;-1; 0;-1;0
   19;07 54 11.040;-61 07 45.86;15.529; 0.870; 1.304;-1; 1;-1;-1;0
   20;07 54 11.068;-60 56 20.06;17.703; 0.861; 1.258;-1;-1;-1;-1;0
   21;07 54 11.108;-60 22 22.58;17.984; 1.410; 1.648;-1;-1; 1;-1;0
   22;07 54 11.135;-61 00 10.59;17.676;      ; 0.966; 0;-1; 0;-1;0
   23;07 54 11.237;-60 50 49.87;17.760; 1.323; 1.737;-1;-1; 1;-1;0
   24;07 54 11.249;-61 02 19.48;19.448;      ; 1.036; 0;-1; 0;-1;0
   25;07 54 11.319;-61 02 08.28;18.829;      ; 1.087; 0;-1; 0;-1;0
   26;07 54 11.324;-60 32 10.82;18.306; 1.327; 1.306;-1;-1;-1;-1;0
   27;07 54 11.340;-60 52 31.19;19.505;      ; 1.949; 0;-1; 0;-1;0
   28;07 54 11.400;-61 07 44.34;16.315;      ; 1.897; 0; 1; 0; 1;1
   29;07 54 11.401;-60 24 36.49;11.726; 0.441; 0.697; 1; 1;-1;-1;1
   30;07 54 11.428;-60 22 08.57;18.171; 0.873; 1.037;-1;-1; 1;-1;0
   31;07 54 11.544;-60 33 38.52;18.560; 0.879; 1.657;-1;-1;-1;-1;0
   32;07 54 11.635;-60 48 00.10;13.917; 0.883; 1.094; 1; 1;-1;-1;1
   33;07 54 11.653;-60 37 48.66;17.511; 0.879; 0.981;-1;-1; 1;-1;0
   34;07 54 11.766;-60 47 42.48;18.445;      ; 2.184; 0;-1; 0;-1;0
   35;07 54 11.773;-60 54 02.58;17.808; 1.002; 1.324;-1;-1;-1;-1;0
   36;07 54 11.793;-60 33 33.21;16.385; 0.808; 2.125;-1;-1;-1;-1;0
   37;07 54 11.803;-60 53 42.55;17.115; 0.910; 1.044;-1;-1; 1;-1;0
   38;07 54 11.874;-60 31 20.87;18.235; 0.746; 1.053;-1;-1;-1;-1;0
   39;07 54 11.881;-60 24 16.33;16.795; 0.675; 0.882;-1;-1; 1;-1;0
   40;07 54 12.073;-60 33 55.70;12.913; 1.662; 1.771;-1;-1;-1;-1;0
   41;07 54 12.083;-60 33 47.34;16.975; 0.892; 1.867;-1; 1;-1;-1;0
   42;07 54 12.084;-60 59 19.28;16.442; 1.061; 1.251;-1;-1; 1;-1;0
   43;07 54 12.109;-61 12 11.87;15.705; 1.088; 1.280;-1;-1; 1;-1;0
   44;07 54 12.163;-60 33 33.68;15.882; 1.278; 1.559; 1; 1; 1; 1;0
   45;07 54 12.165;-60 27 34.18;19.139; 0.769; 0.974;-1;-1; 1;-1;0
   46;07 54 12.179;-60 57 00.40;16.409; 0.598; 0.808;-1;-1; 1;-1;0
   47;07 54 12.189;-61 07 08.54;19.748;      ; 2.157; 0;-1; 0;-1;0
   48;07 54 12.191;-60 52 58.20;17.791; 0.895; 1.129;-1;-1; 1;-1;0
   49;07 54 12.198;-60 44 28.55;19.319;      ; 0.928; 0;-1; 0;-1;0
   50;07 54 12.212;-60 36 46.87;19.521;      ; 1.427; 0;-1; 0;-1;0
   51;07 54 12.235;-60 20 08.15;18.069; 0.726; 0.954;-1;-1; 1;-1;0
   52;07 54 12.259;-61 02 00.64;19.860;      ; 2.204; 0;-1; 0;-1;0
   53;07 54 12.373;-60 32 27.89;16.952; 0.837; 0.973;-1;-1; 1;-1;0
   54;07 54 12.415;-60 59 46.87;16.275; 0.762; 1.005;-1;-1;-1;-1;0
   55;07 54 12.480;-60 23 39.93;16.017; 0.626; 0.824;-1;-1; 1;-1;0
   56;07 54 12.484;-60 39 55.99;17.739; 0.622; 0.960;-1;-1;-1;-1;0
   57;07 54 12.609;-60 46 59.25;17.637; 0.949; 0.978;-1;-1; 1;-1;0
   58;07 54 12.616;-60 28 19.27;19.845;      ; 0.439; 0;-1; 0;-1;0
