# period    V    I    K    SNR    RV    e_RV    vsini    e_vsini    Rsini    R    log(L)    amp   mass
  1.347     15.82     14.50     12.72    44.0      0.16       0.5      22.0       1.9     0.585     0.703     -0.88     0.010      0.70
  0.968     19.76     16.94     14.69    10.0      1.43       1.8      25.6       3.0     0.489     0.588     -1.77     0.018      0.35
  1.320     19.43     16.72     14.32    11.0      2.50       1.6      24.1       3.1     0.628     0.755     -1.70     0.016      0.39
  2.318     18.84     16.31     14.17    16.0      1.40       0.8      14.4       3.8     0.659     0.792     -1.55     0.016      0.45
  1.244     18.36     15.92     13.55    20.0      1.18       0.9      24.2       2.1     0.594     0.714     -1.40     0.016      0.50
  1.739     18.55     16.12     14.02    18.0      0.91       0.7      10.7       4.1     0.367     0.441     -1.48     0.006      0.48
  2.076     19.04     16.53     14.15    13.0      0.69       1.0      15.3       4.0     0.627     0.753     -1.64     0.010      0.42
  0.808     20.47     17.57     14.93    6.0      2.50       2.7      30.9       3.4     0.493     0.592     -2.00     0.017      0.26
  1.271     19.67     16.99     14.45    16.0      0.34       0.7      19.2       2.6     0.482     0.579     -1.81     0.027      0.35
  0.639     20.51     17.61     15.12    10.0      1.47       1.7      33.3       2.2     0.420     0.505     -2.02     0.038      0.25
  0.770     21.13     18.04     15.04    7.0      2.22       1.5      17.6       4.0     0.267     0.321     -2.17     0.019      0.20
  0.634     20.52     17.55     15.04    10.0      1.75       1.1      19.9       3.2     0.249     0.299     -1.99     0.023      0.26
  1.192     18.82     16.29     14.04    24.0      0.34       0.5       9.2       3.9     0.216     0.260     -1.54     0.007      0.45
  0.681     20.06     17.13     14.72    11.0      1.86       1.2      26.6       2.3     0.357     0.430     -1.83     0.022      0.32
  0.393     17.28     15.04     12.89    31.0      1.90       1.2      55.9       1.1     0.434     0.521     -1.06     0.014      0.63
  0.539     20.48     17.53     14.80    8.0      0.22       2.1      31.5       2.7     0.335     0.403     -1.98     0.025      0.26
  0.297     19.97     17.15     14.70    7.0      6.48       6.5      53.0       4.1     0.311     0.373     -1.85     0.012      0.32
