# Mean radius of stars as a funciton of K-band magnitude
# computed with a moving average and bootstrap resampling.
#
#      K           R/Ro         1% CI       99% CI
   12.720000     0.618862     0.492979     0.740579
   12.892222     0.600909     0.520829     0.685626
   13.064444     0.587331     0.511840     0.662412
   13.236667     0.563307     0.487835     0.641086
   13.408889     0.540139     0.475028     0.606662
   13.581111     0.526503     0.468404     0.583973
   13.753333     0.535978     0.479125     0.594237
   13.925556     0.529293     0.473579     0.586568
   14.097778     0.521898     0.474963     0.572157
   14.270000     0.519092     0.476054     0.566431
   14.442222     0.509530     0.464305     0.558721
   14.614444     0.497876     0.454817     0.545308
   14.786667     0.477982     0.435996     0.523566
   14.958889     0.458591     0.414594     0.504539
   15.131111     0.442165     0.394270     0.491719
   15.303333     0.426221     0.373356     0.484161
   15.475556     0.432179     0.370127     0.495298
   15.647778     0.406389     0.322053     0.484927
