# VI-Cousins CCD observations
#  No    Ref    V       V-I
 0001   299   8.960   0.128
 0002   299   8.724   0.069
 0003   299   9.419   0.104
 0004   298  10.854   0.452
 0004   299  10.810   0.463
 0005   299   8.428   0.057
 0007   298  10.005   0.167
 0007   299   9.957   0.151
 0008   298   9.698   0.198
 0008   299   9.650   0.209
 0009   299   9.242   0.174
 0012   299   9.127   0.057
 0014   299   9.395   0.072
 0016   299   9.665   0.128
 0017   298   9.781   0.239
 0017   299   9.794   0.247
 0018   298   9.589   0.079
 0018   299   9.607   0.091
 0021   298  10.781   0.328
 0021   299  10.877   0.347
 0022   298   9.619   0.257
 0022   299   9.611   0.243
 0024   298   9.639   0.084
 0024   299   9.854   0.109
 0025   298   9.865   0.680
 0025   299  10.032   0.700
 0026   299   9.177   0.067
 0027   298  10.407   0.725
 0027   299  10.411   0.759
 0028   298   9.951   0.155
 0028   299   9.936   0.183
 0030   298  10.302   0.229
 0031   298  10.428   0.455
 0032   213  10.878   0.454
 0032   298  10.884   0.323
 0032   299  10.832   0.351
 0033   299   9.411   0.190
 0034   213  10.504   0.452
 0034   298  10.379   0.204
 0034   299  10.348   0.234
 0035   213  10.614   0.476
 0035   298  10.508   0.250
 0035   299  10.471   0.249
 0036   299   9.394   0.108
 0038   299   9.476   0.241
 0039   299   8.712   0.129
 0040   298   9.913   0.251
 0040   299   9.891   0.272
 0041   299   9.195   0.174
 0042   298  10.638   0.332
 0042   299  10.604   0.360
 0043   299   9.375   0.140
 0044   298  10.910   0.366
 0044   299  10.870   0.362
 0045   298   9.893   0.251
 0045   299   9.841   0.255
 0046   298  10.415   0.470
 0046   299  10.365   0.479
 0047   298   9.710   0.285
 0047   299   9.684   0.284
 0048   299   8.757   0.020
 0049   298   9.836   1.330
 0049   299   9.811   1.327
 0050   298  10.117   0.168
 0050   299  10.098   0.175
 0051   298  10.806   0.312
 0051   299  10.838   0.337
 0052   298  10.262   0.490
 0052   299  10.312   0.516
 0053   298  10.518   0.191
 0053   299  10.580   0.211
 0054   298  10.813   0.361
 0054   299  10.552   0.406
 0055   298  10.972   0.398
 0055   299  10.969   0.418
 0056   298  11.448   0.560
 0056   299  11.342   0.553
 0057   298  10.198   0.163
 0057   299  10.148   0.154
 0058   299   9.632   0.089
 0059   298  10.439   0.285
 0059   299  10.429   0.299
 0060   298  10.583   0.386
 0060   299  10.573   0.405
 0061   298  11.408   1.187
 0061   299  11.489   1.194
 0062   298  11.027   0.439
 0062   299  11.087   0.463
 0063   299   9.239   0.113
 0064   298  10.038   0.491
 0064   299  10.076   0.494
 0065   298   9.877   0.116
 0065   299   9.888   0.082
 0066   298  10.135   0.261
 0066   299  10.259   0.252
 0067   298  10.780   0.395
 0067   299  10.804   0.407
 0068   213  11.459   0.550
