# No    Ref    V       V-R     R-I
 0032   213  10.878   0.083   0.371
 0034   213  10.504   0.118   0.334
 0035   213  10.614   0.116   0.360
 0068   213  11.459   0.459   2.873
 0069   213  11.208   0.083   0.449
 0070   213  11.900   0.124   0.499
 0140   213  12.852   0.061   0.675
 0144   213  14.380   0.361   0.679
 0146   213  14.769   0.421   0.695
 0147   213  13.922   0.375   0.636
 0150   213  13.958   0.310   0.616
 0352   213  15.551   0.583   0.745
 0368   213  16.871   0.842   1.288
 0501   213  18.177   0.818   1.279
 0502   213  18.896   1.017   1.593
 0503   213  17.619   0.959   1.589
 0504   213  19.943   0.979   1.906
 0505   213  21.859   1.463   1.980
 0507   213  17.092   0.813   1.232
 0508   213  21.980   1.622   1.928
 0510   213  20.736   1.035   2.120
 0512   213  13.726   0.309   0.578
 0513   213  19.014   0.857   1.555
 0514   213  19.562   0.987   1.672
 0517   213  21.559   1.311   2.119
 0519   213  17.956   0.850   1.336
 0520   213  15.176   0.558   0.768
 0522   213  20.853   1.051   1.884
 0523   213  17.980   0.871   1.464
 0524   213  20.562   1.087   1.980
 0526   213  20.766   1.051   1.942
 0527   213  19.362   0.961   1.715
 0528   213  14.770   0.444   0.665
 0531   213  21.015   1.282   2.055
 0532   213  18.468   0.957   1.689
 0533   213  18.444   0.917   1.573
 0534   213  21.788   1.287   2.213
 0535   213  19.939   1.031   1.915
 0537   213  21.117   1.219   1.888
 0538   213  17.224   0.737   1.198
 0539   213  19.318   0.928   1.765
 0540   213  14.453   0.391   0.638
 0541   213  19.999   1.056   1.773
 0542   213  20.742   0.995   2.016
 0543   213  18.457   0.942   1.754
 0544   213  16.644   0.749   1.009
 0545   213  19.014   1.023   1.800
 0547   213  15.529   0.612   0.759
 0549   213  20.354   1.067   1.800
 0550   213  17.182   0.801   1.142
 0553   213  14.335   0.412   0.634
 0554   213  14.661   0.418   0.743
 0555   213  19.774   1.016   1.899
 0556   213  17.727   0.866   1.302
