#No     Ref   J       H       K      JH      HK      JK
0313    56  10.69   10.28   10.19   0.41    0.09    0.50
0349    56  10.72   10.32   10.23   0.40    0.09    0.49
0425    56  10.43   10.16   10.13   0.27    0.03    0.30
0535    56  13.44   12.81   12.59   0.63    0.22    0.85
0570    56  12.20   11.52   11.34   0.68    0.18    0.86
0751    56  11.88   11.22   11.07   0.66    0.15    0.81
0763    56  12.09   11.43   11.22   0.66    0.21    0.87
0824    56  12.60   11.95   11.75   0.65    0.20    0.85
0826    56  12.87   12.21   12.02   0.66    0.19    0.85
0837    56  11.72   11.08   10.96   0.64    0.12    0.76
0843    56  12.80   12.14   11.94   0.66    0.20    0.86
0912    56  12.08   11.41   11.23   0.67    0.18    0.85
0943    56  11.19   10.52   10.34   0.67    0.18    0.85
1105    56  11.14   10.51   10.39   0.63    0.12    0.75
1169    56  11.16   10.63   10.54   0.53    0.09    0.62
1728    56  11.69   11.12   11.05   0.57    0.07    0.64
1751    56  11.48   10.88   10.80   0.60    0.08    0.68
2233    56  11.45   10.87   10.75   0.58    0.12    0.70
2281    56  11.24   10.71   10.59   0.53    0.12    0.65
3119    56  12.58   11.91   11.72   0.67    0.19    0.86
3206    56  12.68   12.01   11.83   0.67    0.18    0.85
3250    56  13.21   12.61   12.35   0.60    0.26    0.86
3298    56  13.59   12.96   12.74   0.63    0.22    0.85
3365    56  13.29   12.64   12.41   0.65    0.23    0.88
3390    56  13.27   12.64   12.43   0.63    0.21    0.84
3430    56  12.50   11.85   11.63   0.65    0.22    0.87
4034    56  13.77   13.17   12.92   0.60    0.25    0.85
4042    56  14.29   13.69   13.44   0.60    0.25    0.85
4095    56  15.30   14.64   14.40   0.66    0.24    0.90
4106    56  15.08   14.47   14.19   0.61    0.28    0.89
4181    56  15.16   14.54   14.21   0.62    0.33    0.95
4191    56  13.73   13.11   12.88   0.62    0.23    0.85
4200    56  13.98   13.43   13.21   0.55    0.22    0.77
4215    56  14.73   14.10   13.83   0.63    0.27    0.90
4218    56  15.00   14.34   14.05   0.66    0.29    0.95
4233    56  15.24   14.59   14.31   0.65    0.28    0.93
4244    56  11.87   11.20   11.05   0.67    0.15    0.82
4254    56  12.71   12.08   11.88   0.63    0.20    0.83
4258    56  15.06   14.43   14.16   0.63    0.27    0.90
4283    56  15.07   14.49   14.16   0.58    0.33    0.91
4300    56  12.71   12.07   11.84   0.64    0.23    0.87
4305    56  13.59   12.98   12.72   0.61    0.26    0.87
4328    56  14.43   13.80   13.53   0.63    0.27    0.90
4340    56  15.05   14.45   14.14   0.60    0.31    0.91
4376    56  14.52   13.95   13.72   0.57    0.23    0.80
4404    56  14.19   13.56   13.33   0.63    0.23    0.86
4405    56  14.27   13.65   13.41   0.62    0.24    0.86
4412    56  15.40   14.84   14.49   0.56    0.35    0.91
4421    56  14.55   13.89   13.64   0.66    0.25    0.91
4428    56  14.23   13.61   13.39   0.62    0.22    0.84
4446    56  15.25   14.61   14.36   0.64    0.25    0.89
4451    56  14.81   14.18   13.93   0.63    0.25    0.88
4452    56  14.46   13.83   13.61   0.63    0.22    0.85
4455    56  13.76   13.14   12.92   0.62    0.22    0.84 
