#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-05-04T09:05:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ554735fb6bb4 
#INFO -out.max=unlimited 
#INFO queryParameters=18 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/AJ/148/30&tab:{J/AJ/148/30/table1}&key:source=J/AJ/148/30&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/30/table1
#-order=I
#-out=Vmag
#-out=e_Vmag
#-out=B-V
#-out=e_B-V
#-out=V-I
#-out=e_V-I
#-out=Obs
#-out=OName
#S07=S07
#
#
#RESOURCE=yCat_51480030
#Name: J/AJ/148/30
#Title: BVI photometry of 350 Pleiades stars (Kamai+, 2014)
#Table J_AJ_148_30_table1:
#Name: J/AJ/148/30/table1
#Title: New BVIc Pleiades photometry (corrected version sent by the author)
#---Details of Columns:
#    Vmag (mag)   (F6.3)  [8.7/17.9] The Johnson V band magnitude [ucd=phot.mag;em.opt.V]
#    e_Vmag (mag) (F6.3)  The 1{sigma} error in Vmag [ucd=stat.error;phot.mag;em.opt.V]
#    B-V (mag)    (F6.3)  [0.36/1.84] The Johnson (B-V) color index [ucd=phot.color;em.opt.B;em.opt.V]
#    e_B-V (mag)  (F6.3)  The 1{sigma} error in B-V [ucd=stat.error;phot.color;em.opt.B]
#    V-I (mag)    (F6.3)  [0.36/3.33] The Kron-Cousins (V-Ic) color index [ucd=phot.color;em.opt.V;em.opt.I]
#    e_V-I (mag)  (F6.3)  The 1{sigma} error in V-I [ucd=stat.error;phot.color;em.opt.V]
#    Obs          (A1)    [abc] binary or non-member star (1) [ucd=meta.code;obs.param;obs]
#    OName        (a16)   Other stellar names (3) [ucd=meta.id]
#------ ------ ------ ------ ------ ------ - ----------------
#                                          O                 
#Vmag   e_Vmag B-V    e_B-V  V-I    e_V-I  b                 
#(mag)  (mag)  (mag)  (mag)  (mag)  (mag)  s OName           
#------ ------ ------ ------ ------ ------ - ----------------
 8.763  0.023  0.360  0.019  0.360  0.019   
 9.123  0.023  0.540  0.019  0.645  0.019 b TrS183x,HD24665
 9.223  0.023  0.502  0.019  0.609  0.019 a HD22444,TrS19
 9.380  0.019  0.451  0.016  0.578  0.018   
 9.432  0.023  0.486  0.019  0.580  0.019   AKIII79
 9.449  0.023  0.463  0.019  0.617  0.019   
 9.449  0.023  0.497  0.019  0.569  0.019   HD23312,TrS61
 9.556  0.023  0.487  0.019  0.611  0.019   TrS4
 9.573  0.023  0.500  0.019  0.552  0.019   
 9.579  0.023  0.507  0.019  0.634  0.019   HD23935,TrS144y
 9.597  0.019  0.414  0.016  0.541  0.018 c 
 9.645  0.023  0.531  0.019  0.673  0.019 b HD23170,AK1B146
 9.726  0.023  0.543  0.019  0.740  0.019 b 
 9.733  0.019  0.413  0.015  0.613  0.019   TrS151x,HD23975
 9.749  0.023  0.483  0.019  0.653  0.019   HD24463,AK1A317
 9.826  0.023  0.539  0.019  0.673  0.019   
 9.841  0.023  0.530  0.019  0.628  0.019   TrS42
 9.858  0.023  0.517  0.019  0.617  0.019   
 9.930  0.023  0.517  0.019  0.636  0.019   HD22468
 9.987  0.023  0.549  0.019  0.658  0.019   
10.064  0.023  0.557  0.019  0.691  0.019   
10.065  0.023  0.542  0.019  0.645  0.019   
10.206  0.023  0.535  0.019  0.684  0.019   
10.261  0.023  0.631  0.019  0.752  0.019   
10.280  0.019  0.645  0.015  0.750  0.019   
10.340  0.023  0.601  0.019  0.702  0.019   
10.345  0.019  0.623  0.016  0.745  0.018   
10.406  0.023  0.654  0.019  0.801  0.019   
10.446  0.023  0.672  0.019  0.760  0.019   TrS184x,HD283132
10.461  0.023  0.651  0.019  0.741  0.019   
10.476  0.023  0.628  0.019  0.749  0.019   
10.510  0.023  0.618  0.019  0.716  0.019   
10.579  0.023  0.626  0.019  0.739  0.019   AKII359
10.709  0.023  0.652  0.019  0.752  0.019   
10.713  0.023  0.787  0.019  0.855  0.019 a AKV088
10.757  0.019  0.716  0.016  0.803  0.018   
10.788  0.019  0.706  0.015  0.818  0.019   AKV198
10.799  0.023  0.696  0.019  0.776  0.019   AK1B038
10.869  0.023  0.718  0.019  0.768  0.019   
